cohort,band,score,q,r,burden,sensitivity,ci_lo,ci_hi,n_boot
bcn20000,40-59,entropy,0.3,1241,0.29990333494441757,0.48310249307479225,,,0
bcn20000,40-59,margin,0.05,207,0.0500241662638956,0.08476454293628809,,,0
bcn20000,40-59,margin,0.1,414,0.1000483325277912,0.1667590027700831,,,0
bcn20000,40-59,margin,0.15,621,0.1500724987916868,0.24653739612188366,,,0
bcn20000,40-59,margin,0.2,828,0.2000966650555824,0.3257617728531856,,,0
bcn20000,40-59,margin,0.3,1241,0.29990333494441757,0.47368421052631576,,,0
bcn20000,40-59,disagreement,0.05,207,0.0500241662638956,0.07700831024930747,,,0
bcn20000,40-59,disagreement,0.1,414,0.1000483325277912,0.1518005540166205,,,0
bcn20000,40-59,disagreement,0.15,621,0.1500724987916868,0.22825484764542936,,,0
bcn20000,40-59,disagreement,0.2,828,0.2000966650555824,0.29916897506925205,,,0
bcn20000,40-59,disagreement,0.3,1241,0.29990333494441757,0.4393351800554017,,,0
bcn20000,60+,s,0.05,290,0.049948329314502236,0.06869503208937486,0.0663326893437428,0.07191247928992575,500
bcn20000,60+,s,0.1,581,0.10006889424733034,0.13643926788685523,0.13169615444862157,0.14171325712391333,500
bcn20000,60+,s,0.15,871,0.15001722356183259,0.20299500831946754,0.19620296394419837,0.21104574193568373,500
bcn20000,60+,s,0.2,1161,0.19996555287633483,0.26646066080342284,0.2574675286853297,0.2761297348009269,500
bcn20000,60+,s,0.3,1742,0.30003444712366517,0.3888756833848348,0.37709869429690857,0.40273016701648257,500
bcn20000,60+,d,0.05,290,0.049948329314502236,0.06821963394342762,0.06605106154673719,0.07135694694800178,500
bcn20000,60+,d,0.1,581,0.10006889424733034,0.13643926788685523,0.13199514962374284,0.14197315721843032,500
bcn20000,60+,d,0.15,871,0.15001722356183259,0.20085571666270502,0.19415513886945887,0.2086237470945117,500
bcn20000,60+,d,0.2,1161,0.19996555287633483,0.2650344663655812,0.2558340130654675,0.2749827230477692,500
bcn20000,60+,d,0.3,1742,0.30003444712366517,0.3884002852388876,0.37549537377646985,0.401101639035307,500
bcn20000,60+,msp,0.05,290,0.049948329314502236,0.05894937009745662,,,0
bcn20000,60+,msp,0.1,581,0.10006889424733034,0.1157594485381507,,,0
bcn20000,60+,msp,0.15,871,0.15001722356183259,0.17209412883289754,,,0
bcn20000,60+,msp,0.2,1161,0.19996555287633483,0.22747801283574995,,,0
bcn20000,60+,msp,0.3,1742,0.30003444712366517,0.33658188733063943,,,0
bcn20000,60+,entropy,0.05,290,0.049948329314502236,0.06370335155692892,,,0
bcn20000,60+,entropy,0.1,581,0.10006889424733034,0.1219396244354647,,,0
bcn20000,60+,entropy,0.15,871,0.15001722356183259,0.17684811029236985,,,0
bcn20000,60+,entropy,0.2,1161,0.19996555287633483,0.23508438317090563,,,0
bcn20000,60+,entropy,0.3,1742,0.30003444712366517,0.34608985024958405,,,0
bcn20000,60+,margin,0.05,290,0.049948329314502236,0.055383884002852386,,,0
bcn20000,60+,margin,0.1,581,0.10006889424733034,0.11029236985975754,,,0
bcn20000,60+,margin,0.15,871,0.15001722356183259,0.16757784644639886,,,0
bcn20000,60+,margin,0.2,1161,0.19996555287633483,0.22034704064654148,,,0
bcn20000,60+,margin,0.3,1742,0.30003444712366517,0.33277870216306155,,,0
bcn20000,60+,disagreement,0.05,290,0.049948329314502236,0.05752317565961493,,,0
bcn20000,60+,disagreement,0.1,581,0.10006889424733034,0.11195626337057285,,,0
bcn20000,60+,disagreement,0.15,871,0.15001722356183259,0.16686474922747802,,,0
bcn20000,60+,disagreement,0.2,1161,0.19996555287633483,0.22106013786546233,,,0
bcn20000,60+,disagreement,0.3,1742,0.30003444712366517,0.3277870216306156,,,0
mskcc,ALL,s,0.05,145,0.049948329314502236,0.16304347826086957,,,0
mskcc,ALL,s,0.1,290,0.09989665862900447,0.29528985507246375,,,0
mskcc,ALL,s,0.15,435,0.14984498794350673,0.3786231884057971,,,0
mskcc,ALL,s,0.2,581,0.20013778849466068,0.45652173913043476,,,0
mskcc,ALL,s,0.3,871,0.30003444712366517,0.5833333333333334,,,0
mskcc,ALL,d,0.05,145,0.049948329314502236,0.16304347826086957,,,0
mskcc,ALL,d,0.1,290,0.09989665862900447,0.2916666666666667,,,0
mskcc,ALL,d,0.15,435,0.14984498794350673,0.3804347826086957,,,0
mskcc,ALL,d,0.2,581,0.20013778849466068,0.4492753623188406,,,0
mskcc,ALL,d,0.3,871,0.30003444712366517,0.5561594202898551,,,0
mskcc,ALL,msp,0.05,145,0.049948329314502236,0.10326086956521739,,,0
mskcc,ALL,msp,0.1,290,0.09989665862900447,0.18659420289855072,,,0
mskcc,ALL,msp,0.15,435,0.14984498794350673,0.2644927536231884,,,0
mskcc,ALL,msp,0.2,581,0.20013778849466068,0.35144927536231885,,,0
mskcc,ALL,msp,0.3,871,0.30003444712366517,0.48188405797101447,,,0
mskcc,ALL,entropy,0.05,145,0.049948329314502236,0.09057971014492754,,,0
mskcc,ALL,entropy,0.1,290,0.09989665862900447,0.18115942028985507,,,0
mskcc,ALL,entropy,0.15,435,0.14984498794350673,0.26268115942028986,,,0
mskcc,ALL,entropy,0.2,581,0.20013778849466068,0.338768115942029,,,0
mskcc,ALL,entropy,0.3,871,0.30003444712366517,0.4746376811594203,,,0
mskcc,ALL,margin,0.05,145,0.049948329314502236,0.09420289855072464,,,0
mskcc,ALL,margin,0.1,290,0.09989665862900447,0.18478260869565216,,,0
mskcc,ALL,margin,0.15,435,0.14984498794350673,0.27717391304347827,,,0
mskcc,ALL,margin,0.2,581,0.20013778849466068,0.3496376811594203,,,0
mskcc,ALL,margin,0.3,871,0.30003444712366517,0.483695652173913,,,0
mskcc,ALL,disagreement,0.05,145,0.049948329314502236,0.04891304347826087,,,0
