arm,key,view,budget,conformal,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,flag_rate
S56_CONF,S56_CONF@0.25,ARG,0.25,True,0.88,reserved,ALL,4733,2340,779,0.7388548489330234,3497,0.9166666666666666,0.08333333333333337,195,0.6368715083798883,0.5636383657811715,1228,1423,78.17509402423735,26.205333738555634,15.811381681419292,0.8990528208740752,0.932338606783456,boot,0.8144939784491866
S56_CONF,S56_CONF@0.25,ARG,0.25,True,0.88,reserved,<40,978,279,104,0.7423312883435583,726,0.899641577060932,0.10035842293906805,28,0.2222222222222222,0.323900285763368,156,184,77.03886599524647,25.834242429423938,15.593317716259424,0.842550454949716,0.9475366224433388,boot,0.7505112474437627
S56_CONF,S56_CONF@0.25,ARG,0.25,True,0.88,reserved,40-59,1525,598,174,0.7685245901639344,1172,0.919732441471572,0.08026755852842804,48,0.5966386554621849,0.4988058335222201,329,377,81.7009708737864,27.356882743290505,16.48806511719133,0.8776765779494631,0.9539352906262508,boot,0.8163934426229508
S56_CONF,S56_CONF@0.25,ARG,0.25,True,0.88,reserved,60+,2111,1428,479,0.7214590241591663,1523,0.9194677871148459,0.08053221288515411,115,0.6916890080428955,0.560196179728988,723,838,76.98450008307509,25.8164865591188,15.582883854327545,0.8993762332520119,0.9383241093976681,boot,0.8503079109426812
S56_CONF,S56_CONF@0.25,ARG,0.25,True,0.88,reserved,unknown,119,35,25,0.6386554621848739,76,0.8857142857142857,0.11428571428571432,4,0.5555555555555556,0.25586854460093894,20,24,67.53225806451613,22.72939068100358,13.768817204301074,0.7586206896551724,0.9743589743589743,boot,0.680672268907563
CASC,CASC@0.25,LAM,0.25,False,0.89,reserved,ALL,4733,2340,779,0.45869427424466513,2171,0.7611111111111111,0.23888888888888893,559,0.38232044198895027,0.48379456792802056,425,984,44.48449400776596,15.202006460448814,9.345508950985387,0.7314116521605907,0.7895683348214918,boot,0.5453200929642933
CASC,CASC@0.25,LAM,0.25,False,0.89,reserved,<40,978,279,104,0.5122699386503068,501,0.8100358422939068,0.1899641577060932,53,0.13114754098360656,0.40710137117537876,112,165,50.481199437882175,17.160526415739298,10.496391811310723,0.7147756108407891,0.8866731448763251,boot,0.5204498977505112
CASC,CASC@0.25,LAM,0.25,False,0.89,reserved,40-59,1525,598,174,0.3285245901639344,501,0.7107023411371237,0.2892976588628763,173,0.38434163701067614,0.43461040262492456,3,176,36.6136150770988,12.631382701948091,7.834936226917951,0.6389689858877584,0.7784837539054122,boot,0.4340983606557377
CASC,CASC@0.25,LAM,0.25,False,0.89,reserved,60+,2111,1428,479,0.5362387494078635,1132,0.7717086834733894,0.2282913165266106,326,0.4072727272727273,0.4748361801790706,309,635,50.02319488325499,17.01094243661863,10.408491947291362,0.7381377701784265,0.8039533432247059,boot,0.6456655613453339
CASC,CASC@0.25,LAM,0.25,False,0.89,reserved,unknown,119,35,25,0.31092436974789917,37,0.8,0.19999999999999996,7,0.46153846153846156,0.2085343228200371,1,8,28.991071428571427,10.141865079365077,6.372023809523809,0.6306211554775547,0.9155939838394355,CP,0.3949579831932773
CASC_CONF,CASC_CONF@0.25,LAM,0.25,True,0.89,reserved,ALL,4733,2340,779,0.7276568772448764,3444,0.917094017094017,0.08290598290598294,194,0.6407407407407407,0.5315870926524066,790,984,78.04891051836886,26.164122290511038,15.787164644939478,0.89910042120588,0.9331062985479639,boot,0.8142826959645045
CASC_CONF,CASC_CONF@0.25,LAM,0.25,True,0.89,reserved,<40,978,279,104,0.7423312883435583,726,0.899641577060932,0.10035842293906805,28,0.2222222222222222,0.323900285763368,137,165,77.03886599524647,25.834242429423938,15.593317716259424,0.842550454949716,0.9475366224433388,boot,0.7505112474437627
