band,lambda,expected_cost,escalation_sens,escalation_spec,referral_rate
60+,0.65,0.4655652866242038,0.916013437849944,0.7486102532427424,0.4876592356687898
60+,0.66,0.45919585987261147,0.9182530795072789,0.7449042618900555,0.490843949044586
60+,0.67,0.4580015923566879,0.9204927211646137,0.7374922791846819,0.4964171974522293
60+,0.68,0.44446656050955413,0.9260918253079508,0.730697961704756,0.5027866242038217
60+,0.69,0.43212579617834396,0.9305711086226204,0.7251389746757257,0.5079617834394905
60+,0.7,0.42436305732484075,0.93505039193729,0.7189623224212477,0.5135350318471338
60+,0.71,0.42336783439490444,0.9361702127659575,0.7140210006176653,0.5171178343949044
60+,0.72,0.4150079617834395,0.9395296752519597,0.7090796788140827,0.5214968152866242
60+,0.73,0.41261942675159236,0.9417693169092946,0.7010500308832612,0.527468152866242
60+,0.74,0.41003184713375795,0.9440089585666294,0.6942557134033354,0.5326433121019108
60+,0.75,0.41003184713375795,0.9451287793952967,0.6874613959234095,0.5374203821656051
60+,0.76,0.40923566878980894,0.9473684210526315,0.6781964175416924,0.544187898089172
60+,0.77,0.40704617834394907,0.9496080627099664,0.6670784434836319,0.5521496815286624
60+,0.78,0.397890127388535,0.9540873460246361,0.6596664607782582,0.5585191082802548
60+,0.79,0.39072452229299365,0.9585666293393057,0.650401482396541,0.5660828025477707
60+,0.8,0.3903264331210191,0.9596864501679732,0.6448424953675108,0.5700636942675159
60+,0.81,0.3913216560509554,0.961926091825308,0.6318715256331069,0.57921974522293
60+,0.82,0.384156050955414,0.9652855543113102,0.6244595429277332,0.5851910828025477
60+,0.83,0.37639331210191085,0.9697648376259799,0.6145768993205682,0.5931528662420382
60+,0.84,0.3755971337579618,0.9720044792833147,0.6034589252625078,0.6011146496815286
60+,0.85,0.38296178343949044,0.9720044792833147,0.5917232859789994,0.6086783439490446
60+,0.86,0.3867436305732484,0.973124300111982,0.5812229771463867,0.615843949044586
60+,0.87,0.38953025477707004,0.975363941769317,0.5713403335392218,0.6230095541401274
60+,0.88,0.38634554140127386,0.9787234042553191,0.5614576899320568,0.6305732484076433
60+,0.89,0.3861464968152866,0.9820828667413214,0.5484867201976529,0.6401273885350318
60+,0.9,0.3927149681528662,0.9832026875699889,0.5336627547869055,0.6500796178343949
60+,0.91,0.39988057324840764,0.9843225083986562,0.5163681284743669,0.6616242038216561
60+,0.92,0.3919187898089172,0.9899216125419933,0.5009264978381717,0.6735668789808917
60+,0.93,0.39211783439490444,0.9932810750279956,0.4817788758492897,0.6871019108280255
60+,0.94,0.40485668789808915,0.9944008958566629,0.45521927115503397,0.7046178343949044
60+,0.95,0.4273487261146497,0.9966405375139977,0.41136504014823966,0.7336783439490446
60+,0.96,0.4655652866242038,0.9966405375139977,0.35206917850525016,0.7718949044585988
60+,0.97,0.5410031847133758,0.9977603583426652,0.2285361334156887,0.8519108280254777
60+,0.98,0.6468949044585988,0.9988801791713325,0.06176652254478073,0.9597929936305732
60+,0.99,0.6711783439490446,1.0,0.021000617665225447,0.9864649681528662
60+,1.0,0.6847133757961783,1.0,0.0,1.0
60+,1.01,0.6847133757961783,1.0,0.0,1.0
60+,1.02,0.6847133757961783,1.0,0.0,1.0
60+,1.03,0.6847133757961783,1.0,0.0,1.0
60+,1.04,0.6847133757961783,1.0,0.0,1.0
60+,1.05,0.6847133757961783,1.0,0.0,1.0
60+,1.06,0.6847133757961783,1.0,0.0,1.0
60+,1.07,0.6847133757961783,1.0,0.0,1.0
