band,referral,sens_constant,sens_oracle_bins,sens_mass
<40,0.34268385140257773,0.875,0.96875,0.890625
<40,0.3434420015163002,0.875,0.96875,0.890625
<40,0.34420015163002277,0.875,0.96875,0.890625
<40,0.34495830174374525,0.875,0.96875,0.890625
<40,0.3457164518574678,0.875,0.96875,0.890625
<40,0.3464746019711903,0.875,0.96875,0.890625
<40,0.34723275208491283,0.875,0.96875,0.890625
<40,0.3479909021986353,0.875,0.96875,0.890625
<40,0.34874905231235787,0.875,0.96875,0.890625
<40,0.34950720242608035,0.875,0.96875,0.890625
<40,0.3502653525398029,0.875,0.96875,0.890625
<40,0.3510235026535254,0.890625,0.96875,0.890625
<40,0.35178165276724793,0.890625,0.96875,0.890625
<40,0.3525398028809704,0.890625,0.96875,0.890625
<40,0.35329795299469297,0.890625,0.96875,0.890625
<40,0.35405610310841545,0.890625,0.96875,0.890625
<40,0.354814253222138,0.890625,0.96875,0.890625
<40,0.3555724033358605,0.890625,0.96875,0.890625
<40,0.35633055344958303,0.890625,0.96875,0.90625
<40,0.3570887035633055,0.890625,0.96875,0.90625
<40,0.35784685367702807,0.890625,0.96875,0.90625
<40,0.35860500379075055,0.890625,0.96875,0.90625
<40,0.3593631539044731,0.890625,0.96875,0.90625
<40,0.3601213040181956,0.890625,0.96875,0.90625
<40,0.36087945413191813,0.890625,0.96875,0.90625
<40,0.3616376042456406,0.890625,0.96875,0.90625
<40,0.36239575435936316,0.890625,0.96875,0.90625
<40,0.36315390447308565,0.890625,0.96875,0.90625
<40,0.3639120545868082,0.890625,0.96875,0.90625
<40,0.3646702047005307,0.890625,0.96875,0.90625
<40,0.36542835481425323,0.890625,0.96875,0.90625
<40,0.3661865049279757,0.890625,0.96875,0.90625
<40,0.36694465504169826,0.890625,0.96875,0.90625
<40,0.36770280515542075,0.890625,0.96875,0.90625
<40,0.3684609552691433,0.890625,0.96875,0.90625
<40,0.3692191053828658,0.890625,0.96875,0.90625
<40,0.36997725549658833,0.890625,0.96875,0.90625
<40,0.3707354056103108,0.890625,0.96875,0.90625
<40,0.37149355572403336,0.890625,0.96875,0.90625
<40,0.37225170583775585,0.890625,0.96875,0.90625
<40,0.3730098559514784,0.890625,0.96875,0.90625
<40,0.3737680060652009,0.890625,0.96875,0.90625
<40,0.37452615617892343,0.890625,0.96875,0.90625
<40,0.3752843062926459,0.890625,0.96875,0.90625
<40,0.37604245640636846,0.890625,0.96875,0.90625
<40,0.37680060652009095,0.890625,0.96875,0.90625
<40,0.3775587566338135,0.890625,0.96875,0.90625
<40,0.378316906747536,0.890625,0.96875,0.921875
<40,0.37907505686125853,0.890625,0.96875,0.921875
<40,0.379833206974981,0.890625,0.96875,0.921875
<40,0.38059135708870356,0.890625,0.96875,0.921875
<40,0.3813495072024261,0.890625,0.96875,0.921875
<40,0.3821076573161486,0.890625,0.96875,0.921875
<40,0.38286580742987114,0.890625,0.96875,0.921875
<40,0.38362395754359363,0.890625,0.96875,0.921875
<40,0.3843821076573162,0.890625,0.96875,0.921875
<40,0.38514025777103866,0.890625,0.96875,0.921875
<40,0.3858984078847612,0.890625,0.96875,0.921875
<40,0.3866565579984837,0.890625,0.96875,0.921875
<40,0.38741470811220624,0.890625,0.96875,0.921875
<40,0.38817285822592873,0.890625,0.96875,0.921875
<40,0.3889310083396513,0.890625,0.96875,0.921875
<40,0.38968915845337376,0.890625,0.96875,0.921875
<40,0.3904473085670963,0.890625,0.96875,0.921875
<40,0.3912054586808188,0.890625,0.96875,0.921875
<40,0.39196360879454134,0.890625,0.96875,0.921875
<40,0.39272175890826383,0.890625,0.96875,0.921875
<40,0.3934799090219864,0.890625,0.96875,0.921875
